month,level_2,value
1961-01,Food,21.762
1961-01,Food Excl Food Serving Services, 
1961-01,Food Serving Services, 
1961-01,Housing & Utilities,26.553
1961-01,Transport,20.538
1961-02,Food,21.777
1961-02,Food Excl Food Serving Services, 
1961-02,Food Serving Services, 
1961-02,Housing & Utilities,26.669
1961-02,Transport,20.538
1961-03,Food,21.82
1961-03,Food Excl Food Serving Services, 
1961-03,Food Serving Services, 
1961-03,Housing & Utilities,26.553
1961-03,Transport,20.538
1961-04,Food,21.172
1961-04,Food Excl Food Serving Services, 
1961-04,Food Serving Services, 
1961-04,Housing & Utilities,26.65
1961-04,Transport,20.538
1961-05,Food,20.967
1961-05,Food Excl Food Serving Services, 
1961-05,Food Serving Services, 
1961-05,Housing & Utilities,26.728
1961-05,Transport,20.538
1961-06,Food,21.242
1961-06,Food Excl Food Serving Services, 
1961-06,Food Serving Services, 
1961-06,Housing & Utilities,26.728
1961-06,Transport,20.538
1961-07,Food,21.323
1961-07,Food Excl Food Serving Services, 
1961-07,Food Serving Services, 
1961-07,Housing & Utilities,26.728
1961-07,Transport,20.538
1961-08,Food,21.699
1961-08,Food Excl Food Serving Services, 
1961-08,Food Serving Services, 
1961-08,Housing & Utilities,26.728
1961-08,Transport,20.538
1961-09,Food,21.506
1961-09,Food Excl Food Serving Services, 
1961-09,Food Serving Services, 
1961-09,Housing & Utilities,26.728
1961-09,Transport,20.538
1961-10,Food,21.614
1961-10,Food Excl Food Serving Services, 
1961-10,Food Serving Services, 
1961-10,Housing & Utilities,26.728
1961-10,Transport,20.538
1961-11,Food,21.703
1961-11,Food Excl Food Serving Services, 
1961-11,Food Serving Services, 
1961-11,Housing & Utilities,26.769
1961-11,Transport,20.538
1961-12,Food,21.678
1961-12,Food Excl Food Serving Services, 
1961-12,Food Serving Services, 
1961-12,Housing & Utilities,26.694
1961-12,Transport,20.522
1962-01,Food,21.866
1962-01,Food Excl Food Serving Services, 
1962-01,Food Serving Services, 
1962-01,Housing & Utilities,26.769
1962-01,Transport,20.522
1962-02,Food,22.101
1962-02,Food Excl Food Serving Services, 
1962-02,Food Serving Services, 
1962-02,Housing & Utilities,26.752
1962-02,Transport,20.522
1962-03,Food,21.565
1962-03,Food Excl Food Serving Services, 
1962-03,Food Serving Services, 
1962-03,Housing & Utilities,26.694
1962-03,Transport,20.522
1962-04,Food,21.373
1962-04,Food Excl Food Serving Services, 
1962-04,Food Serving Services, 
1962-04,Housing & Utilities,26.694
1962-04,Transport,20.522
1962-05,Food,21.368
1962-05,Food Excl Food Serving Services, 
1962-05,Food Serving Services, 
1962-05,Housing & Utilities,26.918
1962-05,Transport,20.522
1962-06,Food,21.547
1962-06,Food Excl Food Serving Services, 
1962-06,Food Serving Services, 
1962-06,Housing & Utilities,26.918
1962-06,Transport,20.522
1962-07,Food,21.639
1962-07,Food Excl Food Serving Services, 
1962-07,Food Serving Services, 
1962-07,Housing & Utilities,26.918
1962-07,Transport,20.522
1962-08,Food,21.523
1962-08,Food Excl Food Serving Services, 
1962-08,Food Serving Services, 
1962-08,Housing & Utilities,26.901
1962-08,Transport,20.522
1962-09,Food,21.69
1962-09,Food Excl Food Serving Services, 
1962-09,Food Serving Services, 
1962-09,Housing & Utilities,26.901
1962-09,Transport,20.522
1962-10,Food,21.606
1962-10,Food Excl Food Serving Services, 
1962-10,Food Serving Services, 
1962-10,Housing & Utilities,26.901
1962-10,Transport,20.522
1962-11,Food,21.85
1962-11,Food Excl Food Serving Services, 
1962-11,Food Serving Services, 
1962-11,Housing & Utilities,26.911
1962-11,Transport,20.522
1962-12,Food,21.96
1962-12,Food Excl Food Serving Services, 
1962-12,Food Serving Services, 
1962-12,Housing & Utilities,26.911
1962-12,Transport,20.522
1963-01,Food,22.703
1963-01,Food Excl Food Serving Services, 
1963-01,Food Serving Services, 
1963-01,Housing & Utilities,26.832
1963-01,Transport,20.522
1963-02,Food,22.985
1963-02,Food Excl Food Serving Services, 
1963-02,Food Serving Services, 
1963-02,Housing & Utilities,26.832
1963-02,Transport,20.522
1963-03,Food,22.252
1963-03,Food Excl Food Serving Services, 
1963-03,Food Serving Services, 
1963-03,Housing & Utilities,26.832
1963-03,Transport,20.522
1963-04,Food,21.857
1963-04,Food Excl Food Serving Services, 
1963-04,Food Serving Services, 
1963-04,Housing & Utilities,26.868
1963-04,Transport,20.522
1963-05,Food,22.05
