,year,maincat,subcat,value
0,2010,Bread,Ordinary White Bread (Per 400 Gram),1.4
1,2010,Bread,Vitamin Enriched Bread (Per 400 Gram),1.63
2,2010,Bread,Wholemeal Bread (Per 400 Gram),
3,2010,Fish & Seafood,Cod Fish (Per Kilogram),39.79
4,2010,Fish & Seafood,Flowery Grouper (Per Kilogram),13.09
5,2010,Fish & Seafood,Gold Banded Scad (Kuning) (Per Kilogram),5.71
6,2010,Fish & Seafood,Golden Snapper (Per Kilogram),15.43
7,2010,Fish & Seafood,Medium Prawns (Per Kilogram),15.98
8,2010,Fish & Seafood,Salmon (Per Kilogram),25.1
9,2010,Fish & Seafood,Sea Bass (Per Kilogram),10.67
10,2010,Fish & Seafood,Sea Bream (Ang Ko Li) (Per Kilogram),7.22
11,2010,Fish & Seafood,Small Prawns (Per Kilogram),10.02
12,2010,Fish & Seafood,Spanish Mackerel (Batang) (Per Kilogram),10.15
13,2010,Fish & Seafood,Squids (Per Kilogram),9.81
14,2010,Fish & Seafood,Threadfin (Kurau) (Per Kilogram),42.77
15,2010,Fish & Seafood,White Pomfret (Per Kilogram),21.85
16,2010,Fruits,Apple (Each),0.37
17,2010,Fruits,Bananas (Per Kilogram),1.51
18,2010,Fruits,Grapes (Per Kilogram),7.68
19,2010,Fruits,Orange (Each),0.34
20,2010,Fruits,Papaya (Per Kilogram),1.55
21,2010,Fruits,Pear (Each),0.88
22,2010,Fruits,Watermelon (Per Kilogram),1.16
23,2010,Hawker Food,Chicken Nasi Briyani (Per Plate),
24,2010,Hawker Food,Chicken Rice (Per Plate),
25,2010,Hawker Food,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),
26,2010,Hawker Food,Fishball Noodle (Per Bowl),
27,2010,Hawker Food,Fried Carrot Cake (Per Plate),
28,2010,Hawker Food,Ice Kachang (Per Bowl),
29,2010,Hawker Food,Mee Rebus (Per Bowl),
30,2010,Hawker Food,Roti Prata (Plain) (Per Piece),
31,2010,Meat,"Beef, Chilled (Per Kilogram)",
32,2010,Meat,"Chicken Wing, Chilled (Per Kilogram)",
33,2010,Meat,"Duck, Chilled (Per Kilogram)",6.59
34,2010,Meat,"Lean Pork, Chilled (Per Kilogram)",12.66
35,2010,Meat,"Lean Pork, Frozen (Per 500 Gram)",
36,2010,Meat,"Mutton, Chilled (Per Kilogram)",15.12
37,2010,Meat,"Pork Rib Bones, Chilled (Per Kilogram)",15.84
38,2010,Meat,"Pork Rib Bones, Frozen (Per 500 Gram)",
39,2010,Meat,"Streaky Pork, Chilled (Per Kilogram)",13.62
40,2010,Meat,"Whole Chicken, Chilled (Per Kilogram)",5.54
41,2010,"Milk, Cheese & Eggs",Cheese (Per 12 Slices),4.76
42,2010,"Milk, Cheese & Eggs",Fresh Milk (Per Litre),2.76
43,2010,"Milk, Cheese & Eggs",Hen Eggs (Per 10),1.85
44,2010,"Milk, Cheese & Eggs",Infant Milk Powder (Per 100 Gram),3.94
45,2010,Petrol,"Petrol, 92 Octane (Per Litre)",1.69
46,2010,Petrol,"Petrol, 95 Octane (Per Litre)",1.75
47,2010,Petrol,"Petrol, 98 Octane (Per Litre)",1.84
48,2010,Rice,Premium Thai Rice (Per 5 Kilogram),12.43
49,2010,Vegetables,Broccoli (Per Kilogram),6.83
50,2010,Vegetables,Cabbage (Per Kilogram),1.73
51,2010,Vegetables,Carrots (Per Kilogram),1.9
52,2010,Vegetables,Chinese Kale (Kailan) (Per Kilogram),4.02
53,2010,Vegetables,Potatoes (Per Kilogram),1.59
54,2010,Vegetables,Small Mustard (Chye Sim) (Per Kilogram),2.81
55,2010,Vegetables,Spinach (Bayam) (Per Kilogram),2.64
56,2010,Vegetables,Tomatoes (Per Kilogram),2.03
57,2011,Bread,Ordinary White Bread (Per 400 Gram),1.45
58,2011,Bread,Vitamin Enriched Bread (Per 400 Gram),1.6
59,2011,Bread,Wholemeal Bread (Per 400 Gram),
60,2011,Fish & Seafood,Cod Fish (Per Kilogram),46.3
61,2011,Fish & Seafood,Flowery Grouper (Per Kilogram),14.28
62,2011,Fish & Seafood,Gold Banded Scad (Kuning) (Per Kilogram),6.11
63,2011,Fish & Seafood,Golden Snapper (Per Kilogram),16.74
64,2011,Fish & Seafood,Medium Prawns (Per Kilogram),16.91
65,2011,Fish & Seafood,Salmon (Per Kilogram),26.17
66,2011,Fish & Seafood,Sea Bass (Per Kilogram),12.15
67,2011,Fish & Seafood,Sea Bream (Ang Ko Li) (Per Kilogram),7.56
68,2011,Fish & Seafood,Small Prawns (Per Kilogram),10.47
69,2011,Fish & Seafood,Spanish Mackerel (Batang) (Per Kilogram),10.44
70,2011,Fish & Seafood,Squids (Per Kilogram),11.15
71,2011,Fish & Seafood,Threadfin (Kurau) (Per Kilogram),44.36
72,2011,Fish & Seafood,White Pomfret (Per Kilogram),24.28
73,2011,Fruits,Apple (Each),0.38
74,2011,Fruits,Bananas (Per Kilogram),1.56
75,2011,Fruits,Grapes (Per Kilogram),7.66
76,2011,Fruits,Orange (Each),0.34
77,2011,Fruits,Papaya (Per Kilogram),1.68
78,2011,Fruits,Pear (Each),0.92
79,2011,Fruits,Watermelon (Per Kilogram),1.31
80,2011,Hawker Food,Chicken Nasi Briyani (Per Plate),
81,2011,Hawker Food,Chicken Rice (Per Plate),
82,2011,Hawker Food,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),
83,2011,Hawker Food,Fishball Noodle (Per Bowl),
84,2011,Hawker Food,Fried Carrot Cake (Per Plate),
85,2011,Hawker Food,Ice Kachang (Per Bowl),
86,2011,Hawker Food,Mee Rebus (Per Bowl),
87,2011,Hawker Food,Roti Prata (Plain) (Per Piece),
88,2011,Meat,"Beef, Chilled (Per Kilogram)",
89,2011,Meat,"Chicken Wing, Chilled (Per Kilogram)",
90,2011,Meat,"Duck, Chilled (Per Kilogram)",6.78
91,2011,Meat,"Lean Pork, Chilled (Per Kilogram)",12.75
92,2011,Meat,"Lean Pork, Frozen (Per 500 Gram)",
93,2011,Meat,"Mutton, Chilled (Per Kilogram)",17.6
94,2011,Meat,"Pork Rib Bones, Chilled (Per Kilogram)",16.13
95,2011,Meat,"Pork Rib Bones, Frozen (Per 500 Gram)",
96,2011,Meat,"Streaky Pork, Chilled (Per Kilogram)",13.91
97,2011,Meat,"Whole Chicken, Chilled (Per Kilogram)",5.82
98,2011,"Milk, Cheese & Eggs",Cheese (Per 12 Slices),5.06
99,2011,"Milk, Cheese & Eggs",Fresh Milk (Per Litre),2.85
100,2011,"Milk, Cheese & Eggs",Hen Eggs (Per 10),1.98
101,2011,"Milk, Cheese & Eggs",Infant Milk Powder (Per 100 Gram),4.31
102,2011,Petrol,"Petrol, 92 Octane (Per Litre)",1.9
103,2011,Petrol,"Petrol, 95 Octane (Per Litre)",1.96
104,2011,Petrol,"Petrol, 98 Octane (Per Litre)",2.04
105,2011,Rice,Premium Thai Rice (Per 5 Kilogram),12.45
106,2011,Vegetables,Broccoli (Per Kilogram),6.8
107,2011,Vegetables,Cabbage (Per Kilogram),1.81
108,2011,Vegetables,Carrots (Per Kilogram),1.95
109,2011,Vegetables,Chinese Kale (Kailan) (Per Kilogram),4.11
110,2011,Vegetables,Potatoes (Per Kilogram),1.79
111,2011,Vegetables,Small Mustard (Chye Sim) (Per Kilogram),3.16
112,2011,Vegetables,Spinach (Bayam) (Per Kilogram),2.83
113,2011,Vegetables,Tomatoes (Per Kilogram),1.96
114,2012,Bread,Ordinary White Bread (Per 400 Gram),1.46
115,2012,Bread,Vitamin Enriched Bread (Per 400 Gram),1.6
116,2012,Bread,Wholemeal Bread (Per 400 Gram),
117,2012,Fish & Seafood,Cod Fish (Per Kilogram),48.85
118,2012,Fish & Seafood,Flowery Grouper (Per Kilogram),14.62
119,2012,Fish & Seafood,Gold Banded Scad (Kuning) (Per Kilogram),6.57
120,2012,Fish & Seafood,Golden Snapper (Per Kilogram),16.77
121,2012,Fish & Seafood,Medium Prawns (Per Kilogram),17.23
122,2012,Fish & Seafood,Salmon (Per Kilogram),25.41
123,2012,Fish & Seafood,Sea Bass (Per Kilogram),12.46
124,2012,Fish & Seafood,Sea Bream (Ang Ko Li) (Per Kilogram),8.27
125,2012,Fish & Seafood,Small Prawns (Per Kilogram),11.17
126,2012,Fish & Seafood,Spanish Mackerel (Batang) (Per Kilogram),10.97
127,2012,Fish & Seafood,Squids (Per Kilogram),11.32
128,2012,Fish & Seafood,Threadfin (Kurau) (Per Kilogram),44.8
129,2012,Fish & Seafood,White Pomfret (Per Kilogram),24.76
130,2012,Fruits,Apple (Each),0.4
131,2012,Fruits,Bananas (Per Kilogram),1.65
132,2012,Fruits,Grapes (Per Kilogram),7.88
133,2012,Fruits,Orange (Each),0.34
134,2012,Fruits,Papaya (Per Kilogram),1.79
135,2012,Fruits,Pear (Each),0.93
136,2012,Fruits,Watermelon (Per Kilogram),1.34
137,2012,Hawker Food,Chicken Nasi Briyani (Per Plate),
138,2012,Hawker Food,Chicken Rice (Per Plate),
139,2012,Hawker Food,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),
140,2012,Hawker Food,Fishball Noodle (Per Bowl),
141,2012,Hawker Food,Fried Carrot Cake (Per Plate),
142,2012,Hawker Food,Ice Kachang (Per Bowl),
143,2012,Hawker Food,Mee Rebus (Per Bowl),
144,2012,Hawker Food,Roti Prata (Plain) (Per Piece),
145,2012,Meat,"Beef, Chilled (Per Kilogram)",
146,2012,Meat,"Chicken Wing, Chilled (Per Kilogram)",
147,2012,Meat,"Duck, Chilled (Per Kilogram)",6.75
148,2012,Meat,"Lean Pork, Chilled (Per Kilogram)",13.07
