Transport,Housing & Utilities,Food Serving Services,Food,Food Excl Food Serving Services
1/4/1974,1/4/1974,1/2/1994,1/6/1973,1/12/1994
1/9/1979,1/2/1980,1/3/1996,1/9/1979,1/7/2004
1/11/1983,1/9/1989,1/10/2000,1/5/1981,1/11/2007
1/7/1990,1/8/1992,1/12/2004,1/4/1994,1/10/2010
1/11/1993,1/8/1997,1/11/2007,1/11/2003,1/9/2013
1/2/2010,1/1/2008,1/3/2011,1/1/2008,1/3/2016
1/5/2011,1/5/2011,1/9/2013,1/5/2011,1/12/2019
1/10/2021,1/5/2016,1/3/2016,1/4/2014,1/10/2021
NA,1/10/2021,1/2/2019,1/1/2018,NA
NA,NA,1/10/2021,1/10/2021,NA
